INFO 2024-09-26 12:41:19,179 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-26 12:41:20,870 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\consumer\__init__.py first seen with mtime 1726818133.4185116
DEBUG 2024-09-26 12:41:20,871 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\consumer\fetcher.py first seen with mtime 1726818133.4195137
DEBUG 2024-09-26 12:41:20,871 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\backends\postgresql\client.py first seen with mtime 1726818186.2149978
DEBUG 2024-09-26 12:41:20,872 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\http.py first seen with mtime 1726818186.870013
DEBUG 2024-09-26 12:41:20,872 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1726818177.887281
DEBUG 2024-09-26 12:41:20,872 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\errors.py first seen with mtime 1726818133.4015129
DEBUG 2024-09-26 12:41:20,873 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\migrations\loader.py first seen with mtime 1726818186.2529988
DEBUG 2024-09-26 12:41:20,873 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1726818186.2759984
DEBUG 2024-09-26 12:41:20,874 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\template\autoreload.py first seen with mtime 1726818186.6420095
DEBUG 2024-09-26 12:41:20,874 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1726818185.938991
DEBUG 2024-09-26 12:41:20,875 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\google\protobuf\text_encoding.py first seen with mtime 1726818137.8130515
DEBUG 2024-09-26 12:41:20,875 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_core\_machar.py first seen with mtime 1726818139.859979
DEBUG 2024-09-26 12:41:20,875 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1726818186.1119945
DEBUG 2024-09-26 12:41:20,876 autoreload File C:\Python3119\DLLs\_bz2.pyd first seen with mtime 1712054600.0
DEBUG 2024-09-26 12:41:20,876 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1726818177.9002817
DEBUG 2024-09-26 12:41:20,877 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\_virtualenv.py first seen with mtime 1726818019.37825
DEBUG 2024-09-26 12:41:20,877 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1726818186.349003
DEBUG 2024-09-26 12:41:20,877 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\faker\providers\emoji\__init__.py first seen with mtime 1726818257.9397748
DEBUG 2024-09-26 12:41:20,878 autoreload File C:\Python3119\DLLs\_ssl.pyd first seen with mtime 1712054600.0
DEBUG 2024-09-26 12:41:20,878 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\google\protobuf\internal\decoder.py first seen with mtime 1726818137.7850525
DEBUG 2024-09-26 12:41:20,879 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\faker\providers\profile\__init__.py first seen with mtime 1726818258.6207874
DEBUG 2024-09-26 12:41:20,879 autoreload File C:\Python3119\Lib\wsgiref\handlers.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,883 autoreload File C:\Python3119\Lib\email\encoders.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,884 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1726818186.8450148
DEBUG 2024-09-26 12:41:20,885 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\mail\message.py first seen with mtime 1726818186.0219953
DEBUG 2024-09-26 12:41:20,885 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1726818186.8840168
DEBUG 2024-09-26 12:41:20,886 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1726818185.9679964
DEBUG 2024-09-26 12:41:20,886 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\colorama\win32.py first seen with mtime 1726818159.6387365
DEBUG 2024-09-26 12:41:20,888 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\__init__.py first seen with mtime 1726818139.2889662
DEBUG 2024-09-26 12:41:20,889 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1726818186.3109992
DEBUG 2024-09-26 12:41:20,889 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1726818185.9439917
DEBUG 2024-09-26 12:41:20,890 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\faker\providers\lorem\__init__.py first seen with mtime 1726818258.177775
